Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),absolute_accel,Activity,Position
2.236790750E0,-2.13E-01,1.709138212E0,-6.03E-01,1.824800609E0,Walking,Hand
2.246762750E0,-7.65E-01,1.772453324E0,-5.78E-01,2.015092263E0,Walking,Hand
2.256733750E0,-1.29E+00,2.028069035E0,-6.61E-01,2.491969212E0,Walking,Hand
2.266705750E0,-1.75E+00,2.256039986E0,-7.89E-01,2.962500655E0,Walking,Hand
2.276676750E0,-2.17E+00,2.239494997E0,-8.48E-01,3.229141214E0,Walking,Hand
2.286648750E0,-2.31E+00,2.189139945E0,-6.13E-01,3.243330497E0,Walking,Hand
2.296619750E0,-2.19E+00,2.173011863E0,-2.37E-01,3.091154979E0,Walking,Hand
2.306591750E0,-1.88E+00,2.208607080E0,1.882575399E-1,2.909230740E0,Walking,Hand
2.316563750E0,-1.60E+00,2.320248261E0,4.237655523E-1,2.851371445E0,Walking,Hand
2.326534750E0,-1.38E+00,2.261736344E0,6.698310050E-1,2.732648027E0,Walking,Hand
2.336506750E0,-1.27E+00,2.028319295E0,8.580584317E-1,2.542387106E0,Walking,Hand
2.346477750E0,-1.11E+00,1.841579108E0,1.021214460E0,2.382407206E0,Walking,Hand
2.356449750E0,-8.61E-01,1.730562117E0,1.188655327E0,2.269223246E0,Walking,Hand
2.366421750E0,-6.58E-01,1.642726121E0,1.289923840E0,2.189696976E0,Walking,Hand
2.376392750E0,-4.25E-01,1.573546251E0,1.357032334E0,2.120921766E0,Walking,Hand
2.386364750E0,-2.32E-01,1.512817946E0,1.362423466E0,2.049043122E0,Walking,Hand
2.396335750E0,-9.95E-02,1.445241090E0,1.331472400E0,1.967599901E0,Walking,Hand
2.406307750E0,-2.19E-02,1.423261114E0,1.158349793E0,1.835190450E0,Walking,Hand
2.416279750E0,3.678307950E-2,1.394368852E0,8.415125656E-1,1.629036798E0,Walking,Hand
2.426250750E0,2.128737330E-2,1.272819857E0,6.998242977E-1,1.452679451E0,Walking,Hand
2.436222750E0,4.642689228E-4,1.230335157E0,5.096696287E-1,1.331723674E0,Walking,Hand
